Plik;FazaTestu;CzasStopu;Populacja;Mutacja;Krzyzowanie;Selekcja;MetodaKrzyzowania;MetodaMutacji;NajlepszyKoszt;CzasZnalezienia
a280.tsp;1_Operatory;60;150;0.05;0.8;Turniejowa;OX;Zamiana;5347;59.547
a280.tsp;1_Operatory;60;150;0.05;0.8;Turniejowa;OX;Inwersja;3139;57.958
a280.tsp;1_Operatory;60;150;0.05;0.8;Turniejowa;OX;Wstawianie;4888;59.299
a280.tsp;1_Operatory;60;150;0.05;0.8;Turniejowa;PBX;Zamiana;10196;59.155
a280.tsp;1_Operatory;60;150;0.05;0.8;Turniejowa;PBX;Inwersja;5558;59.636
a280.tsp;1_Operatory;60;150;0.05;0.8;Turniejowa;PBX;Wstawianie;8411;59.506
a280.tsp;1_Operatory;60;150;0.05;0.8;Ruletkowa;OX;Zamiana;9349;59.922
a280.tsp;1_Operatory;60;150;0.05;0.8;Ruletkowa;OX;Inwersja;9413;59.547
a280.tsp;1_Operatory;60;150;0.05;0.8;Ruletkowa;OX;Wstawianie;9227;59.339
a280.tsp;1_Operatory;60;150;0.05;0.8;Ruletkowa;PBX;Zamiana;16946;57.351
a280.tsp;1_Operatory;60;150;0.05;0.8;Ruletkowa;PBX;Inwersja;16773;59.668
a280.tsp;1_Operatory;60;150;0.05;0.8;Ruletkowa;PBX;Wstawianie;16303;58.445
a280.tsp;1_Operatory;60;150;0.05;0.8;Rankingowa;OX;Zamiana;3678;55.923
a280.tsp;1_Operatory;60;150;0.05;0.8;Rankingowa;OX;Inwersja;3619;59.884
a280.tsp;1_Operatory;60;150;0.05;0.8;Rankingowa;OX;Wstawianie;3475;59.732
a280.tsp;1_Operatory;60;150;0.05;0.8;Rankingowa;PBX;Zamiana;9998;59.919
a280.tsp;1_Operatory;60;150;0.05;0.8;Rankingowa;PBX;Inwersja;11997;58.983
a280.tsp;1_Operatory;60;150;0.05;0.8;Rankingowa;PBX;Wstawianie;8992;59.795
a280.tsp;1_Operatory;60;300;0.05;0.8;Turniejowa;OX;Zamiana;5275;58.679
a280.tsp;1_Operatory;60;300;0.05;0.8;Turniejowa;OX;Inwersja;3004;58.576
a280.tsp;1_Operatory;60;300;0.05;0.8;Turniejowa;OX;Wstawianie;4157;59.207
a280.tsp;1_Operatory;60;300;0.05;0.8;Turniejowa;PBX;Zamiana;9757;59.616
a280.tsp;1_Operatory;60;300;0.05;0.8;Turniejowa;PBX;Inwersja;6250;59.999
a280.tsp;1_Operatory;60;300;0.05;0.8;Turniejowa;PBX;Wstawianie;9633;59.948
a280.tsp;1_Operatory;60;300;0.05;0.8;Ruletkowa;OX;Zamiana;13479;59.779
a280.tsp;1_Operatory;60;300;0.05;0.8;Ruletkowa;OX;Inwersja;13192;57.072
a280.tsp;1_Operatory;60;300;0.05;0.8;Ruletkowa;OX;Wstawianie;13742;59.928
a280.tsp;1_Operatory;60;300;0.05;0.8;Ruletkowa;PBX;Zamiana;19745;59.888
a280.tsp;1_Operatory;60;300;0.05;0.8;Ruletkowa;PBX;Inwersja;19371;59.787
a280.tsp;1_Operatory;60;300;0.05;0.8;Ruletkowa;PBX;Wstawianie;17796;58.824
a280.tsp;1_Operatory;60;300;0.05;0.8;Rankingowa;OX;Zamiana;9774;59.324
a280.tsp;1_Operatory;60;300;0.05;0.8;Rankingowa;OX;Inwersja;9996;59.758
a280.tsp;1_Operatory;60;300;0.05;0.8;Rankingowa;OX;Wstawianie;10074;59.704
a280.tsp;1_Operatory;60;300;0.05;0.8;Rankingowa;PBX;Zamiana;11959;59.894
a280.tsp;1_Operatory;60;300;0.05;0.8;Rankingowa;PBX;Inwersja;14752;58.412
a280.tsp;1_Operatory;60;300;0.05;0.8;Rankingowa;PBX;Wstawianie;11613;59.955
a280.tsp;2_Dostrajanie;60;300;0.01;0.7;Turniejowa;OX;Inwersja;3621;58.972
a280.tsp;2_Dostrajanie;60;300;0.01;0.8;Turniejowa;OX;Inwersja;3553;58.993
a280.tsp;2_Dostrajanie;60;300;0.01;0.9;Turniejowa;OX;Inwersja;3797;55.977
a280.tsp;2_Dostrajanie;60;300;0.05;0.7;Turniejowa;OX;Inwersja;2961;59.464
a280.tsp;2_Dostrajanie;60;300;0.05;0.8;Turniejowa;OX;Inwersja;3010;57.378
a280.tsp;2_Dostrajanie;60;300;0.05;0.9;Turniejowa;OX;Inwersja;3117;59.464
a280.tsp;2_Dostrajanie;60;300;0.1;0.7;Turniejowa;OX;Inwersja;3048;58.661
a280.tsp;2_Dostrajanie;60;300;0.1;0.8;Turniejowa;OX;Inwersja;2990;47.599
a280.tsp;2_Dostrajanie;60;300;0.1;0.9;Turniejowa;OX;Inwersja;3048;55.735
a280.tsp;3_DlugieTesty;180;300;0.05;0.8;Turniejowa;OX;Inwersja;2806;159.818
a280.tsp;3_DlugieTesty;300;300;0.05;0.8;Turniejowa;OX;Inwersja;2978;185.928
a280.tsp;3_DlugieTesty;180;500;0.05;0.8;Turniejowa;OX;Inwersja;2904;140.47
a280.tsp;3_DlugieTesty;300;500;0.05;0.8;Turniejowa;OX;Inwersja;2952;287.742
